Label;Split;Style;Action;Business Object;Addition;Tags
perform remote diagnosis;;VO;perform;remote diagnosis;;
perform search;;VO;perform;search;;
perform spell check;;VO;perform;spell check;;
perform validation;;VO;perform;validation;;
perform work according to role;;VO;perform;work according to role;;
personal;;NA;;;;
personal account;;NA;account;personal;;
personal information;;NA;information;personal;;
personal information review;;AN;review;personal information;;
personal needs;;NA;needs;personal;;
personal needs review;;AN;review;personal needs;;
pharmacological ways to settle patient;;NA;patient;pharmacological ways to settle;;
phone call to complete data;;NA;data;phone call to complete;;
phone client for required information;;VO;phone;client for required information;;
phone garage;;VO;phone;garage;;
physical control;;AN;control;physical;;
physical examination;;AN;examination;physical;;
physical examination of cargo;;AN;examination;of cargo;;
physical file is created;;DES / EVENT;is created;physical file;;
physical file is prepared;;DES / EVENT;is prepared;physical file;;
physical file received by the loan officer;;DES / EVENT;received;physical file;;
physical file received finally by the loan officer;;DES / EVENT;received;physical file;;
physical file sent to loss vertification department;;VO;sent;physical file;;
pick day to order;;VO;pick;day to order;;
pick quantity;;VO;pick;quantity;;
pick stock;;VO;pick;stock;;
pick up a claim;;VO;pick up;a claim;;
pick up computer;;VO;pick up;computer;;
pick up item;;VO;pick up;item;;
pick up packages by company car;;VO;pick up;packages by company car;;
pick up pc;;VO;pick up;pc;;
pick up products from store;;VO;pick up;products from store;;
picking;;AN;picking;;;
picking and goods issue;;AN;picking    issue;goods;;
picking dog food;;AN;picking;dog food;;
picking motorcycle;;AN;picking;motorcycle;;
picks up computerand pay balance;;DES / EVENT;picks up, pay;computerand, balance;;
pim plan review;;AN;review;pim plan;;
place advanced estimate;;VO;place;advanced estimate;;
place application into waiting for approvement;;VO;place;application into waiting for approvement;;
place application to approved applications;;VO;place;application to approved applications;;
place bid;;VO;place;bid;;
place completed invoices in deptartment outbox;;VO;place;completed invoices in deptartment outbox;;
place completed requests in data entry officer inbox;;VO;place;completed requests in data entry officer inbox;;
place cup for barista;;VO;place;cup for barista;;
place in batch <$2500;;VO;place;in batch <$2500;;
place in batch >= $2500;;VO;place;in batch >= $2500;;
place in internal mail outbox;;VO;place;in internal mail outbox;;
place in master record request outbox;;VO;place;in master record request outbox;;
place in sap master record outbox;;VO;place;in sap master record outbox;;
place in special outbox;;VO;place;in special outbox;;
place invoice in high priority outbox;;VO;place;invoice in high priority outbox;;
place invoice in outbox;;VO;place;invoice in outbox;;
place invoice request;;VO;place;invoice request;;
place order;;VO;place;order;;
place priority order;;VO;place;priority order;;
place product request;;VO;place;product request;;
place purchase order;;VO;place;purchase order;;
place purchase order;;VO;place;purchase order;;
place the bag into machine;;VO;place;the bag into machine;;
place user into active users;;VO;place;user into active users;;
plan and manage iteration;;VO;plan   manage;iteration;;
plan production;;VO;plan;production;;
plan testing activities;;VO;plan;testing activities;;
planning data loading;;AN;loading;planning data;;
plastic wrap;;NA;wrap;plastic;;
play answer sequence and log answers;;VO;play   log;answer sequence / answers;;
play question sequence / present answer-possibilities;;VO;play   present;question sequence / answer-possibilities;;
pork;;NA;;;;
positive;;NA;;;;
post / submit application;;VO;post   submit;application;;
post a status update;;VO;post;a status update;;
post goods issue;;VO;post;goods issue;;
post goods receipt;;VO;post;goods receipt;;
post incoming payment;;VO;post;incoming payment;;
post manually;;VO;post;manually;;
post report processing;;VO;post;report processing;;
post the educational offers on the website;;VO;post;the educational offers on the website;;
posting payment receipt;;AN;posting;payment receipt;;
pour coffee;;VO;pour;coffee;;
pour into cups and serve;;VO;pour   serve;into cups;;
power on the machine;;VO;power on;the machine;;
power the machine;;VO;power;the machine;;
practice flying;;VO;practice;flying;;
practice theory;;VO;practice;theory;;
pray;;VO;pray;;;
pre check information;;VO;pre check;information;;
pre-post control;;AN;control;pre-post;;
preliminary approval;;AN;approval;;;
premier;;NA;;premier;;
prep;;NA;;;;
prepaid;;DES / EVENT;;;;
prepare a mission order;;VO;prepare;a mission order;;
prepare acceptance pack;;VO;prepare;acceptance pack;;
prepare additional documents;;VO;prepare;additional documents;;
prepare all the document;;VO;prepare;all the document;;
prepare and submit export docs;;VO;prepare;and submit export docs;;
prepare and submit form;;VO;prepare;and submit form;;
prepare application;;VO;prepare;application;;
prepare ard;;VO;prepare;ard;;
prepare assembling;;VO;prepare;assembling;;
prepare assembling order;;VO;prepare;assembling order;;
prepare assembling process;;VO;prepare;assembling process;;
prepare assembly;;VO;prepare;assembly;;
prepare bill;;VO;prepare;bill;;
prepare blaze vector;;VO;prepare;blaze vector;;
prepare cart;;VO;prepare;cart;;
prepare certificate / double check with the student;;VO;prepare double check;certificate with the student;;
prepare change completion report;;VO;prepare;change completion report;;
prepare complaint approvement;;VO;prepare;complaint approvement;;
prepare complaint rejection;;VO;prepare;complaint rejection;;
prepare confirmation;;VO;prepare;confirmation;;
prepare content;;VO;prepare;content;;
prepare contract;;VO;prepare;contract;;
prepare detail of quote line item(s);;VO;prepare;detail of quote line item(s);;
prepare detailed information;;VO;prepare;detailed information;;
prepare documentation for boarding;;VO;prepare;documentation for boarding;;
prepare documentation for onboarding;;VO;prepare;documentation for onboarding;;
prepare drinks;;VO;prepare;drinks;;
prepare estimation;;VO;prepare;estimation;;
prepare event;;VO;prepare;event;;
prepare feedback proposal;;VO;prepare;feedback proposal;;
prepare food;;VO;prepare;food;;
prepare for assembly;;VO;prepare;for assembly;;
prepare form and collect receipts;;VO;prepare;form and collect receipts;;
prepare initial impact;;VO;prepare;initial impact;;
prepare insurance offer;;VO;prepare;insurance offer;;
prepare invoice;;VO;prepare;invoice;;
prepare invoice entry forms;;VO;prepare;invoice entry forms;;
prepare invoice mail;;VO;prepare;invoice mail;;
prepare invoices & send a letter to customer;;VO;prepare send;Invoices letter;to customer;
prepare mortgage documents;;VO;prepare;mortgage documents;;
prepare non alcholic drinks;;VO;prepare;non alcholic drinks;;
prepare order;;VO;prepare;order;;
prepare organization information;;VO;prepare;organization information;;
prepare outbound delivery with order return;;VO;prepare;outbound delivery with order return;;
prepare package;;VO;prepare;package;;
prepare parts;;VO;prepare;parts;;
prepare penalty reminder letter;;VO;prepare;penalty reminder letter;;
prepare purchase order;;VO;prepare;purchase order;;
prepare receipt;;VO;prepare;receipt;;
prepare rejection letter;;VO;prepare;rejection letter;;
prepare schedule of phd courses;;VO;prepare;schedule of phd courses;;
prepare self-declaration;;VO;prepare;self-declaration;;
prepare service request;;VO;prepare;service request;;
prepare shipment;;VO;prepare;shipment;;
prepare sow;;VO;prepare;sow;;
prepare the acceptance pack;;VO;prepare;the acceptance pack;;
prepare the bill;;VO;prepare;the bill;;
prepare the blue pages of reimboursement;;VO;prepare;the blue pages of reimboursement;;
prepare the contract documents for power supplier switch;;VO;prepare;the contract documents for power supplier switch;;
prepare the needed documentation;;VO;prepare;the needed documentation;;
prepare the needed documentation and then store it;;VO;prepare;the needed documentation and then store it;;
prepare the part for the customer;;VO;prepare;the part for the customer;;
prepare the transportation quote;;VO;prepare;the transportation quote;;
prepare things;;VO;prepare;things;;
prepare ticket order of sncf;;VO;prepare;ticket order of sncf;;
prepare tomato sauce;;VO;prepare;tomato sauce;;
prepare transportation quote;;VO;prepare;transportation quote;;
prepare ts;;VO;prepare;ts;;
prepare user's desk;;VO;prepare;user's desk;;
prepare warm food and collect cold food;;VO;prepare;warm food and collect cold food;;
prepare warm foods;;VO;prepare;warm foods;;
prepare warm goods;;VO;prepare;warm goods;;
prepares invoice @home;;DES / EVENT;prepares;invoice;;
preparing final version 4 days;;AN;preparing;final version;4 days;
preparing food;;AN;preparing;food;;
preparing import documents;;AN;preparing;import documents;;
preparing invoice for new candidates;;AN;preparing;invoice;for new candidates;
preperation of an invoice for the payment of the first fee;;AN;preperation;of an invoice;for the payment of the first fee;
preprocess;;VO;preprocess;;;
prescribe;;VO;prescribe;;;
present broadcastremote;;VO;present;broadcastremote;;
present communication screen;;VO;present;communication screen;;
present communication screen / slave-remote;;VO;present;communication screen / slave-remote;;
present contextual remote;;VO;present;contextual remote;;
present couch-selection screen;;VO;present;couch-selection screen;;
present list-screen;;VO;present;list-screen;;
present login screen;;VO;present;login screen;;
present planned guerilla activities to top management;;VO;present;planned guerilla activities to top management;;
present the project;;VO;present;the project;;
present video remote;;VO;present;video remote;;
present wait screen;;VO;present;wait screen;;
present your project;;VO;present;your project;;
previous study;;NA;study;previous;;
previous study review;;AN;review;previous study;;
price;;VO;price;;;
price comparison;;VO;price;comparison;;
print a report of invoices entered;;VO;print;a report of invoices entered;;
